Harga,Cicilan,Alamat,KT,KM,Garasi,LT,LB
438750 ,Cicilan : 48 Jutaan per bulan,"Setiabudi, Bandung",5.00 ,3.00 ,2.00 ,450.00 ,500.00 
51025 ,Cicilan : 5 Jutaan per bulan,"Bandung Kota, Bandung",2.00 ,3.00 ,1.00 ,37.00 ,65.00 
780000 ,Cicilan : 85 Jutaan per bulan,"Dago, Bandung",4.00 ,4.00 ,2.00 ,440.00 ,520.00 
406250 ,Cicilan : 44 Jutaan per bulan,"Batununggal, Bandung",4.00 ,3.00 ,2.00 ,370.00 ,250.00 
455000 ,Cicilan : 50 Jutaan per bulan,"Pungkur, Bandung",6.00 ,4.00 ,3.00 ,468.00 ,300.00 
110500 ,Cicilan : 12 Jutaan per bulan,"Taman Kopo Indah, Bandung",3.00 ,3.00 ,0.00 ,145.00 ,100.00 
253500 ,Cicilan : 27 Jutaan per bulan,"Dago, Bandung",5.00 ,3.00 ,3.00 ,367.00 ,286.00 
NULL,NULL,NULL,3.00 ,2.00 ,4.00 ,315.00 ,139.00 
356850 ,Cicilan : 39 Jutaan per bulan,"Batununggal, Bandung",6.00 ,4.00 ,0.00 ,445.00 ,432.00 
357500 ,Cicilan : 39 Jutaan per bulan,"Kota Baru Parahyangan, Bandung",6.00 ,5.00 ,0.00 ,399.00 ,450.00 
253500 ,Cicilan : 27 Jutaan per bulan,"Gede Bage, Bandung",4.00 ,3.00 ,0.00 ,180.00 ,215.00 
780000 ,Cicilan : 85 Jutaan per bulan,"Riau, Bandung",5.00 ,5.00 ,5.00 ,420.00 ,530.00 
650000 ,Cicilan : 72 Jutaan per bulan,"Setra Sari, Bandung",5.00 ,3.00 ,6.00 ,700.00 ,461.00 
98800 ,Cicilan : 10 Jutaan per bulan,"Andir, Bandung",4.00 ,3.00 ,1.00 ,72.00 ,96.00 
260000 ,Cicilan : 28 Jutaan per bulan,"Kota Baru Parahyangan, Bandung",4.00 ,3.00 ,2.00 ,198.00 ,256.00 
234000 ,Cicilan : 25 Jutaan per bulan,"Kota Baru Parahyangan, Bandung",5.00 ,3.00 ,2.00 ,264.00 ,150.00 
51025 ,Cicilan : 5 Jutaan per bulan,"Bandung Kulon, Bandung",2.00 ,2.00 ,1.00 ,37.00 ,65.00 
102050 ,Cicilan : 11 Jutaan per bulan,"Soekarno Hatta, Bandung",4.00 ,3.00 ,0.00 ,150.00 ,130.00 
877500 ,Cicilan : 96 Jutaan per bulan,"Pasteur, Bandung",5.00 ,6.00 ,0.00 ,440.00 ,1000.00 
422500 ,Cicilan : 46 Jutaan per bulan,"Setra Sari, Bandung",4.00 ,3.00 ,2.00 ,227.00 ,320.00 
57525 ,Cicilan : 6 Jutaan per bulan,"Taman Kopo Indah, Bandung",3.00 ,1.00 ,1.00 ,98.00 ,65.00 
812500 ,Cicilan : 89 Jutaan per bulan,"Cimahi, Bandung",5.00 ,3.00 ,0.00 ,1400.00 ,600.00 
206700 ,Cicilan : 22 Jutaan per bulan,"Kota Baru Parahyangan, Bandung",4.00 ,3.00 ,2.00 ,220.00 ,138.00 
468000 ,Cicilan : 51 Jutaan per bulan,"Gede Bage, Bandung",4.00 ,3.00 ,1.00 ,300.00 ,338.00 
975000 ,Cicilan : 107 Jutaan per bulan,"Kota Baru Parahyangan, Bandung",4.00 ,3.00 ,2.00 ,417.00 ,800.00 
42835 ,Cicilan : 4 Jutaan per bulan,"Arcamanik, Bandung",2.00 ,2.00 ,2.00 ,60.00 ,60.00 
120250 ,Cicilan : 13 Jutaan per bulan,"Kota Baru Parahyangan, Bandung",2.00 ,1.00 ,0.00 ,126.00 ,80.00 
162500 ,Cicilan : 17 Jutaan per bulan,"Kota Baru Parahyangan, Bandung",3.00 ,2.00 ,0.00 ,120.00 ,92.00 
178750 ,Cicilan : 19 Jutaan per bulan,"Kota Baru Parahyangan, Bandung",3.00 ,2.00 ,0.00 ,120.00 ,92.00 
584350 ,Cicilan : 64 Jutaan per bulan,"Kota Baru Parahyangan, Bandung",5.00 ,4.00 ,0.00 ,504.00 ,377.00 
422500 ,Cicilan : 46 Jutaan per bulan,"Dago, Bandung",3.00 ,3.00 ,0.00 ,600.00 ,400.00 
715000 ,Cicilan : 78 Jutaan per bulan,"Dago, Bandung",4.00 ,6.00 ,0.00 ,707.00 ,2000.00 
66950 ,Cicilan : 7 Jutaan per bulan,"Andir, Bandung",2.00 ,2.00 ,1.00 ,48.00 ,74.00 
66950 ,Cicilan : 7 Jutaan per bulan,"Garuda, Bandung",3.00 ,3.00 ,1.00 ,48.00 ,74.00 
44200 ,Cicilan : 4 Jutaan per bulan,"Sudirman, Bandung",4.00 ,2.00 ,1.00 ,52.00 ,91.00 
43875 ,Cicilan : 4 Jutaan per bulan,"Andir, Bandung",2.00 ,1.00 ,1.00 ,41.00 ,34.00 
55055 ,Cicilan : 6 Jutaan per bulan,"Sudirman, Bandung",3.00 ,3.00 ,1.00 ,40.00 ,70.00 
70200 ,Cicilan : 7 Jutaan per bulan,"Sudirman, Bandung",3.00 ,3.00 ,1.00 ,48.00 ,74.00 
